company_name,business_description
American Pacific Rim Commerce Group,"American Pacific Rim Commerce Group, a development stage company, focuses on promoting trade between the United States and China by assisting the United States small to medium-size enterprises to sell their Made-in-the-USA goods and services in Hong Kong and China through mymuyJ.com, its ecommerce platform. The company was incorporated in 2002 and is based in Citra, Florida."
AMPD Ventures Inc.,"AMPD Ventures Inc., a technology company, provides cloud and computing solutions to gaming and digital media companies in Canada and the United States. The company offers solutions for video games and eSports, computer graphics rendering, artificial intelligence, machine learning, mixed reality, and big data processing fields. It also provides AMPD Virtual Studio, a suite of private cloud-based solutions designed to create infrastructure-less studio; AMPD Virtual Workstation; AMPD Render solutions; AMPD Storage solutions; AMPD Metal, a bare metal server product; AMPD Cloud Plus; AMPD Flexible Edge; AMPD Virtual Production Services; AMPD Machine Learning Platform; AMPD CDN solutions; AMPD Game Hosting; and AMPD Studio. The company is headquartered in Vancouver, Canada."
AppTech Payments Corp.,"AppTech Payments Corp., a financial technology company, provides electronic payment processing technologies and merchant services in the United States. Its merchant transaction services offer processing payments for credit and debit cards through point-of-sale equipment, e-commerce gateways, periodic automatic clearing house payments, and gift and loyalty programs. The company also offers integrated solutions for frictionless digital and mobile payment acceptance, as well as multi-use case, multi-channel, API-driven, and account-based issuer processing for card, digital tokens, and payment transfer transaction services; hosted ecommerce checkout, a flexible payment gateway; and text payment technology, alternative payment methods (APMs), and contactless payments. In addition, it provides FinZeo, a fintech platform. The company was formerly known as AppTech Corp. AppTech Payments Corp. was incorporated in 1998 and is headquartered in Carlsbad, California."
"ARC Document Solutions, Inc.","ARC Document Solutions, Inc., a digital printing company, provides digital printing and document-related services in the United States. It provides managed print services, that places, manages, and optimizes print and imaging equipment in customers' offices, job sites, and other facilities; and cloud-based document management software and other digital hosting services. The company also provides professional services and software services to re-produce and distribute large-format and small-format documents, and specialized graphic color printing. In addition, it engages in the sale and supply of equipment; and provides ancillary services. The company operates service centers in the United States, Canada, China, the United Kingdom, India, and the United Arab Emirates. It serves local restaurant owners, construction subcontractors, international retailers, regional energy companies, and largest school districts, as well as retail, technology, energy, education, hospitality, public utilities, and others. The company was formerly known as American Reprographics Company and changed its name to ARC Document Solutions, Inc. in 2012. ARC Document Solutions, Inc. was founded in 1988 is headquartered in San Ramon, California."
"Archival CD, Inc.","ArchivalCD, Inc. was in the development stage and had no significant operations, as of October 9, 2001. It intended to operate a document management business that would specialize in digitization of data and other information contained in microfilm, paper documents, and other formats; and transferring these images to compact disks. The company was incorporated in 1988 and is based in Athens, the United States."
Arion Group Corp.,"Arion Group Corp. focuses on manufacturing and distribution activities in dietary ingredient and nutritional supplement industry in the United States. It provides consulting services to third parties for planning, design, and compliance of cannabis cultivation. Arion Group Corp. was incorporated in 2016 and is based in South El Monte, California."
Athena Bitcoin Global,"Athena Bitcoin Global provides various crypto asset transaction platforms in the United States, El Salvador, and internationally. The company purchases and sells Bitcoin, Bitcoin Cash, Litecoin, Ethereum, and Tether through its Bitcoin automated teller machines (ATMs). It also provides personalized services under Athena Plus for buying and selling crypto assets; white-label operations, such as operating ATMs on behalf of customers; and payment services under Athena Pay comprising POS devices, web POS, API integration, and bitcoin lightning. In addition, the company sells intellectual property and maintains software. Athena Bitcoin Global was founded in 2015 and is based in Miami, Florida."
ATIF Holdings Limited,"ATIF Holdings Limited operates as a business consulting company in Hong Kong, the United States, and Mexico. It offers financial consulting services to small and medium-sized enterprises (SMEs). The company primarily focuses on helping clients going public on the national stock exchanges and OTC markets in the United States. Its consulting services primarily include due diligence review, market research and feasibility study, business plan drafting, accounting record review, and business analysis and recommendations; reorganization, pre-listing education and tutoring, talent search, legal and audit firm recommendation and coordination, VIE contracts and other public-listing related documents review, merger and acquisition planning, investor referral and pre-listing equity financing source identification and recommendations, and independent directors and audit committee candidate’s recommendation. The company also offers shell company identification and recommendation for customers expecting to become publicly listed through reverse merger transaction; assistance in preparation of customers’ public filings for IPO or reverse merger transactions; and assistance in answering comments and questions received from regulatory agencies. In addition, it operates chinacnnm.com, a news and media website focuses on distributing financial news and information. ATIF Holdings Limited was incorporated in 2015 and is based in Lake Forest, California."
"Autoco.com, Inc.","Autoco.com, Inc., through its subsidiary, GTA Auctions and Liquidations, Inc., operates a public auto and liquidation auction. The company conducts a weekly auto auction and liquidation auction. It also has another subsidiary, Variegated Ventures, Ltd., an Internet technology development company that intends to provide its services to the automotive industry in North America. The company was incorporated under the laws of the State of Minnesota in April 1998 and was formerly known as Data Acquisition Technologies, Inc. The company’s principal executive offices are located in Calgary, Canada."
"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. engages in the provision of cloud-based human capital management (HCM) solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. This segment’s offerings include RUN Powered by ADP, a software platform for small business payroll, HR management, and tax compliance administration; ADP Workforce Now, a HCM solution used across mid-sized and large businesses to manage employees; and ADP Vantage HCM, a solution for HR management, benefits administration, payroll services, time and attendance management, and talent management. The PEO Services segment provides HR and employment administration outsourcing solutions under ADP TotalSource name to businesses through a co-employment model. The segment also provides employee benefits, protection and compliance, talent engagement, expertise, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey."
"AvidXchange Holdings, Inc.","AvidXchange Holdings, Inc. provides accounts payable (AP) automation software and payment solutions for middle market businesses and their suppliers in North America. The company offers AP automation software, a SaaS-based solution that automates and digitizes capture, review, approval, and payment of invoices for buyers; the AvidPay network that connects two-sided payments with buyers and suppliers; and the AvidXchange Supplier Hub, which provides supplier insights to cash flow, tools for in-network invoices and payments, and early payment feature. Its platform offers electronic invoice capture, workflow routing, and automated payments solutions. The company serves real estate, community association management, construction, financial services, healthcare facilities, social services, education, hospitality, and media sectors through direct salesforces; strategic channel partnerships; and software and technology business partners. AvidXchange Holdings, Inc. was incorporated in 2000 and is headquartered in Charlotte, North Carolina."
Base Carbon Inc.,"Base Carbon Inc., together with its subsidiaries, engages in the provision of capital, development expertise, and management operating resources to projects involved primarily in voluntary carbon markets and the broader environmental markets. It engages with corporations, sovereign entities, academic institutions, and carbon reduction project developers to produce and commercialize verified carbon credits. The company was formerly known as 1287411 B.C. Ltd. and changed its name to Base Carbon Inc. in February 2022. Base Carbon Corp. is headquartered in Toronto, Canada."
Bergamo Acquisition Corp.,"Bergamo Acquisition Corp., together with its subsidiaries, invests in a range of financial instruments and businesses, including alternative energy, biotechnology and healthcare, commercial and investment banking, and hedge funds. The company builds a portfolio of large and middle-market companies through strategic one-off investments, acquisition, and co-investment with other institutional investors, such as private equity funds, hedge funds, investment banks, and related institutions. It also offers solar generators for home, industry, and government applications, as well as solar-operated tube well water pumping systems. In addition, the company provides turnkey solutions to developers, utilities, water districts, power plant owners, and industrial customers. Bergamo Acquisition Corp. was incorporated in 1997 and is based in Henderson, Nevada."
Bitcoin Depot Inc.,"Bitcoin Depot Inc. owns and operates a network of cryptocurrency kiosks in North America. Its customers can buy and sell bitcoin, litecoin, and ethereum cryptocurrencies using the BTM kiosk network and other services. The company also engages in the sale of cryptocurrency to consumers at a network of retail locations through its BDCheckout product offering, as well as its website through over-the-counter trade. The company is headquartered in Atlanta, Georgia."
Bitcoin Well Inc.,"Bitcoin Well Inc. provides bitcoin and other cryptocurrency services in Canada. It operates through two segments, Automated Teller Machines (ATMs) and Online Portal. The company owns and operates a network of Bitcoin ATMs for the buying and selling of bitcoin and other cryptocurrencies. It also offers an online portal for individuals to buy, sell, and use bitcoin online; bill payment services through its online platform; and gift cards and other prepaid debit cards that can be purchased with bitcoin and other cryptocurrencies. In addition, the company offers consultation services on cryptocurrencies. Bitcoin Well Inc. was founded in 2013 and is headquartered in Edmonton, Canada."
Bitfarms Ltd.,"Bitfarms Ltd. engages in the mining of cryptocurrency coins and tokens in Canada, the United States, Paraguay, and Argentina. It owns and operates server farms that primarily validates transactions on the Bitcoin Blockchain and earning cryptocurrency from block rewards and transaction fees. The company also provides electrician services to commercial and residential customers in Quebec, Canada. It also undertakes hosting of third-party mining hardware. The company was formerly known as Bitfarms Technologies Ltd and changed its name to Bitfarms Ltd. in October 2018. The company was founded in 2017 and is based in Toronto, Canada."
"Block, Inc.","Block, Inc., together with its subsidiaries, builds ecosystems focused on commerce and financial products and services in the United States and internationally. It operates through two segments, Square and Cash App. The Square segment offers commerce products for restaurants, appointments, retail, point of sale, online, online checkout, and invoices, as well as virtual terminals, risk and order managers, and payment and commerce application programming interfaces; managed payment services; software solutions; hardware products, such as registers, terminals, stands, and readers for contactless and chips; banking services consisting of lending, instant transfer, and checking and savings accounts; and full-service setup and support services. This segment also provides loyalty, marketing, team management, and payroll services; and gift cards. The Cash App segment offers financial tools within the mobile Cash App, including peer-to-peer payments, bitcoin, and stock investment brokerage; Cash App Card, a debit card; direct deposit, cash boost, and tax preparation services; and Afterpay, a buy now, pay later platform. This segment also provides Pay in 4, monthly payment solutions, advertising and affiliate, shop directory, and Cash App Pay services; and business accounts, and Afterpay and Afterpay Plus cards. In addition, the company operates TIDAL, a platform for musicians and fans; TBD, an open developer platform focused on making the decentralized financial world accessible; Bitkey, a self-custody bitcoin wallet; and Spiral, which focuses on bitcoin open source work. It serves businesses, sellers, and individuals through e-commerce and retail distribution channels. The company was formerly known as Square, Inc. and changed its name to Block, Inc. in December 2021. Block, Inc. was incorporated in 2009 and is based in Oakland, California."
"Blue Diamond Ventures, Inc.","Blue Diamond Ventures, Inc. focuses on opportunities in various industries related to agriculture, renewable energies, and natural holistic products and services derived from botanicals. The company, through its subsidiary, Blue Diamond Consulting LLC, provides services, such as business consulting, design, land planning and site development, product development, business management, legal, liability and crop insurance, staffing, product testing, and compliance services primarily for building and construction, agriculture, and food and consumer products industries. Blue Diamond Ventures, Inc. was founded in 1991 and is based in Chicago, Illinois."
Blue Star Opportunities Corp.,"Blue Star Opportunities Corp., a window marketing company, produces and supplies flooring and other components used in renovation and construction of office, commercial, retail space, and multi-unit dwellings under the Duro Design brand name in the United States and Canada. The company offers bamboo, cork, maple, oak, tamarindo, and eucalyptus products, as well as hickory and various other wood flooring products. It serves architects, designers, real estate managers, institutions, museums, churches, retail chains, and individual homeowners through a network of value added resellers and independent agents, as well as directly to consumers through Duro Design factory outlets. The company was formerly known as Green Zap Inc. and changed its name to Blue Star Opportunities Corp. in July 2008. Blue Star Opportunities Corp. was incorporated in 1986 and is based in Laval, Canada."
"BlueOne Card, Inc.","BlueOne Card, Inc. provides pay out, and prepaid debit and gift cards solutions to consumers and corporations in the United States. It operates as a reseller of the program manager’s prepaid and branded cards that provides consumer benefits, including no overdraft fees, no interest fees, virtual bank accounts, and free direct deposits. The company was formerly known as Manneking Inc. and changed its name to BlueOne Card, Inc. in June 2020. BlueOne Card, Inc. was incorporated in 2007 and is headquartered in Newport Beach, California."
"Bridger Aerospace Group Holdings, Inc.","Bridger Aerospace Group Holdings, Inc. provides aerial wildfire management, relief and suppression, and firefighting services to federal and state government agencies in the United States. It offers fire suppression services, such as direct fire suppression aerial firefighting support services for ground crew to drop large amounts of water quickly and directly on wildfires. The company also provides aerial surveillance services, including fire suppression aircraft over an incident and tactical coordination with the incident commander through its manned and unmanned aircraft. It operates an aircraft fleet of 18 planes. The company was founded in 2014 and is headquartered in Belgrade, Montana."
Butler National Corporation,"Butler National Corporation, together with its subsidiaries, designs, engineers, manufactures, sells, integrates, installs, repairs, modifies, overhauls, services, and distributes a portfolio of aerostructures, aircraft components, avionics, accessories, subassemblies, and systems in North America, Europe, the Middle East, Asia, and internationally. It operates through two segments, Aerospace Products and Professional Services. The Aerospace Products segment provides aircraft modifications to business-size aircraft, which include passenger-to-freighter configuration, radar systems, addition of aerial photography capabilities, search and rescue, environmental research, mapping, intelligence surveillance reconnaissance modifications, and stability enhancing modifications for Learjet, Beechcraft, and Cessna aircraft along with other specialized modifications. This segment manufactures, sells, and services electronics for weapon control systems that are used on government aircraft and vehicles; and sells, installs, and repairs aircraft avionics equipment, including airplane radio equipment and flight control systems, as well as troubleshoots and repairs autopilot systems. Its Professional Services segment manages Boot Hill Casino and Resort, a gaming, dining, and entertainment facility in Dodge City, Kansas. The company acquires, refurbishes, and sells airplanes, primarily Learjets; owns properties; and operates a management consulting and administrative services firm that provides business planning and financial coordination to Indian tribes interested in owning and operating casinos. It serves the aviation industry, including owners and operators of private and commercial business and government aircraft and suppliers. Butler National Corporation was incorporated in 1960 and is headquartered in New Century, Kansas."
Calian Group Ltd.,"Calian Group Ltd. provides business services and solutions in Canada and internationally. It operates through four segment: Advanced Technologies, Health, Learning, and IT and Cyber Solutions (“ITCS”). The company offers systems engineering, software development, integration design, embedded design, operational management and lifecycle support, modelling and simulation-enabled design, and research & development solutions and services; environmental and radiation protection, decommissioning and waste management, regulatory affairs and licensing, and emergency preparedness and training services; and sophisticated communication systems for the satellite industry, such as antennas, RF systems, decimator RF spectrum analyzers, in-orbit test systems, software defined solutions, operations and teleport services, transmitters, receivers, and modems. It also provides circuit card assemblies, wiring harnesses and cables, units, subsystems and systems, design evolution and qualification testing services, and life cycle management services; DOCSIS network equipment and test solutions; Bin-Sense, an asset monitoring solutions; Fuel Lock for fuel tanks; and composites-specific engineering, metrology and project planning services. In addition, the company offers IT and cyber solution; clinician, nursing, psychological, health property management, patient support program, clinical research, pharmacovigilance, and functional service provider services; and digital health solutions. Further, it provides training for the military, emergency preparedness, and simulation training services; defence manufacturing and engineering, communications and connectivity, and cyber services; military training and simulation services; and health services for military personnel. The company was formerly known as Calian Technologies Ltd. and changed its name to Calian Group Ltd. in April 2016. The company was incorporated in 1982 and is headquartered in Ottawa, Canada."
"Cantaloupe, Inc.","Cantaloupe, Inc., a digital payments and software services company, provides technology solutions for self-service commerce market. The company offers integrated solutions for payments processing, logistics, and back-office management. It also provides G11 cashless and pulse kits that are 4G LTE digital payment devices for payment and consumer engagement applications; G11 chip kit, a digital reader that accepts contact EMV and contactless EMV payment methods; Engage series comprising Engage and Engage Combo, which are digital touchscreen devices that offers networking, security, and interactivity payment methods; and card touchscreen card readers, including P66, P100, P100Pro, and P30. In addition, the company offers self-checkout kiosks,?smart store?concepts, and the Cantaloupe Go management platform comprising Go Mini, Go MiniX, Go Plus100, Go Plus200, Go Plus300, Go Max, Cooler Cafe, and Smart Market; Go Portal, a robust cloud-based platform; and Cheq products, which supports attended and unattended self-service kiosks for the stadium, entertainment, and festival sectors. Further, it provides integrated software services for payment or asset tracking devices in the field to connect into platform for advanced data management, analytics, route scheduling, and loyalty and reward programs; and a range of self-service hardware solutions for vending, micro-markets, amusement, arcade, commercial laundry, air/vacuum, car wash, and other applications. Additionally, the company offers professional, network infrastructure, card processing, and customer/consumer services. Cantaloupe, Inc. was formerly known as USA Technologies, Inc. The company was incorporated in 1992 and is headquartered in Malvern, Pennsylvania."
"Cardlytics, Inc.","Cardlytics, Inc. operates an advertising platform in the United States and the United Kingdom. It offers Cardlytics platform, a proprietary native bank advertising channel that enables marketers to reach customers through their network of financial institution partners through digital channels, such as online, mobile applications, email, and various real-time notifications; and Bridg platform, a customer data platform which utilizes point-of-sale data and enables marketers to perform analytics and targeted loyalty marketing, as well as measure the impact of their marketing. The company was incorporated in 2008 and is headquartered in Atlanta, Georgia."
"Cass Information Systems, Inc.","Cass Information Systems, Inc. provides payment and information processing services to manufacturing, distribution, and retail enterprises in the United States. The company operates through two segments, Information Services and Banking Services. Its services include freight invoice rating, payment processing, auditing, and the generation of accounting and transportation information. The company also processes and pays facility-related invoices, such as electricity, gas, waste, and telecommunications expenses; and provides telecom expense management solutions, as well as church management software solution and on-line platform to provide generosity services for faith-based and non-profit organizations. In addition, the company, through its banking subsidiary, Cass Commercial Bank, provides a range of banking products and services, such as demand, savings, time, and money market deposits; commercial, industrial, commercial real estate, and construction and land development loans; and cash management services to privately held businesses, restaurant franchises, and faith-related ministries. Further, it provides B2B payment platform for clients that require an agile fintech partner. It operates through its banking facility near downtown St. Louis, Missouri; operating branch in the Bridgeton, Missouri; and leased facilities in Colorado Springs, Colorado. The company was formerly known as Cass Commercial Corporation and changed its name to Cass Information Systems, Inc. in January 2001. Cass Information Systems, Inc. was founded in 1906 and is headquartered in Saint Louis, Missouri."
"CBIZ, Inc.","CBIZ, Inc. provides financial, insurance, and advisory services in the United States and Canada. It operates through Financial Services, Benefits and Insurance Services, and National Practices segments. The Financial Services segment offers accounting and tax, financial advisory, valuation, risk and advisory, and government healthcare consulting services. The Benefits and Insurance Services provides employee benefits consulting, payroll/human capital management, property and casualty insurance, and retirement and investment services. The National Practices segment offers information technology managed networking and hardware, and health care consulting services. The company primarily serves small and medium-sized businesses, as well as individuals, governmental entities, and not-for-profit enterprises. CBIZ, Inc. was incorporated in 1987 and is headquartered in Independence, Ohio."
"CEN Biotech, Inc.","CEN Biotech, Inc. focuses on the manufacture, production, and development of light emitting diode lighting technology and hemp-based products. It intends to cultivate hemp for usage in industrial, medical, and food products; and to provide digital marketing and web design related services. The company was incorporated in 2013 and is based in Windsor, Canada."
Champion Gaming Group Inc.,"Champion Gaming Group Inc. operates as a sports content, data, and analytics company. It operates as a premier sports intelligence destination for sports wagering and fantasy sports under the Football Outsiders, EdjSports, and EdjVarsity brands. The company also provides a suite of digital products powered by data science methodologies to business-to-business and business-to-consumer customers including teams, media, institutions, wagerers, and fantasy players. Champion Gaming Group Inc. was formerly known as Prime City One Capital Corp. and changed its name to Champion Gaming Group Inc. in November 2021. The company is based in Louisville, Kentucky."
"Citron, Inc.","Citron, Inc. operates as an Internet marketing company. It offers products and services through a network of affiliate websites. The company was incorporated in 2002 and is based in New York, New York."
Clip Money Inc.,"Clip Money Inc., a financial technology company, provides deposit network services to businesses and financial institutions in North America. The company offers Clip Drop Platform, an end-to-end system that includes user registration, location services, compliance and know your business (KYB), bar code and RFID tracking of deposit bags, and secure processing of deposits through ACH payment processing. Its platform also enhances the transaction experience while accelerating business cash flows, improving management transparency, and reducing shrinkage. In addition, the company offers cash pickup service, businesses can deposit their cash through its ClipDrop Boxes located in retailers and shopping mall centers. Clip Money Inc. is based in Toronto, Canada."
Clone Algo Technologies Inc.,"Clone Algo Technologies Inc., a technology company, develops algorithms and risk management systems based on artificial intelligence. Its products include Clone Algo, a social investment network app that enables users to clone trades from master accounts to users own account with connected brokers, banks, and hedge funds using algorithms, and advanced cloning and non-predictive timing technology; HomeAway, a hotel booking and management system for booking discounted hotel room rates; and AlgoTrust, a mobile banking system for do it yourself banking. The company was formerly known as Travelsafe, Inc. and changed its name to Clone Algo Technologies Inc. in September 2014. Clone Algo Technologies Inc. was founded in 2013 and is based in Chapel Hill, North Carolina."
"Comepay, Inc.","Comepay, Inc. provides Internet acquiring and support services. It is also involved in facilitating instant payments and internet based payment transactions through kiosks, mobile interfaces, and Web-based applications. In addition, the company leases and sells cash registers and point of sale (POS) systems, including its recently developed proprietary multifunctional smart POS fiscal cash register system. It processes approximately 10 million customer payments per month and has approximately 22,000 kiosks across Russia. The company is based in Vaughan, Canada."
"Communications Synergy Technologies, Inc.","Communications Synergy Technologies, Inc., through its subsidiaries, engages in developing, marketing, and licensing radiology information management and document preservation systems in the United States. It develops and markets document creation, management, and preservation systems for medicine, industry, finance, and government. The company’s products provide improves operational processes and communication quality by automating the creation, capture, management, distribution, archiving, preservation, and retrieval of voice and word documents. The company, formerly known as MedSynTech, LLC, was founded in 1999. Communications Synergy Technologies is based in Rochester, New York."
"CompuMed, Inc.","CompuMed, Inc., an enterprise telemedicine solutions company, provides clinical care services for patients and medical facilities. It offers telecardiology and teleradiology services that provide real-time access to U.S. Board-Certified specialists through cloud-based technology and integrated medical devices to medical facilities worldwide. The company also provides enterprise telemedicine solutions; a suite of telecardiology services and diagnostic exam interpretations for pediatric and adult patients, including electrocardiogram (ECG) devices, echocardiogram, ECG, vascular, holter, nuclear, and video consults; and reading, transcription, reporting, storage, and video consultations in the areas of Vscan, X-ray, ultrasound, mammography, computed tomography, magnetic resonance imaging, and radiologist video consults. It also offers OsteoGram software that works in combination with standard or digital X-ray equipment to support osteoporosis screening, diagnosis, and therapy monitoring. In addition, the company provides mobile ECG and ultrasound solutions that provide patients with immediate access to its board-certified specialists; and medical devices. It serves organ procurement organizations, rural healthcare, and correctional healthcare industries. CompuMed, Inc. was founded in 1973 and is headquartered in Los Angeles, California."
Concentrix Corporation,"Concentrix Corporation engages in the provision of technology-infused customer experience (CX) solutions worldwide. The company provides CX process optimization, technology innovation, front- and back-office automation, analytics, and business transformation services, across various channels of communication, such as voice, chat, email, social media, asynchronous messaging, and custom applications. It also offers customer lifecycle management; customer experience/user experience strategy and design; analytics and actionable insights; digital transformation services that design and engineer CX solutions to enable efficient customer self-service and build customer loyalty; customer engagement solutions and services that address the entirety of the customer lifecycle; AI technology that can intelligently act on customer intent to improve customer experience with non-human engagement; voice of the customer and analytics solutions to gather and analyze customer feedback to foster loyalty to, and growth with, clients; analytics and consulting solutions that synthesize data and provide professional insight to improve clients’ customer experience strategies; vertical business process outsourcing (BPO) services; and back office BPO services that support clients in non-customer facing areas. The company’s clients include technology and consumer electronics, retail, travel and e-commerce, communications and media, banking, financial services and insurance, healthcare, and others, as well as global IPOs, social brands, and banks. Concentrix Corporation was founded in 2004 and is based in Newark, California."
Conduent Incorporated,"Conduent Incorporated provides digital business solutions and services for the commercial, government, and transportation spectrum in the United States, Europe, and internationally. It operates through three segments: Commercial, Government Services, and Transportation. The Commercial segment offers business process services and customized solutions to clients in various industries; and customer experience management, business operations, healthcare claims and administration, and human capital solutions. The Government segment provides government-centric business process services to the United States federal, state, local, and foreign governments for public assistance, program administration, transaction processing, and payment services; and digital payments, child support payments, government healthcare, and eligibility and enrollment solutions. The Transportation segment offers systems, support, and revenue-generating solutions to government transportation agency clients; and public safety, mobility, and digital payment solutions. This segment also provides electronic tolling, urban congestion management, and mileage-based user solutions; transit solutions; citation and permit administration, parking enforcement, and curbside demand management solutions; and computer-aided dispatch/automatic vehicle location solutions. Conduent Incorporated was founded in 2016 and is headquartered in Florham Park, New Jersey."
"Corfacts, Inc.","Corfacts, Inc., through its wholly owned subsidiary, Metro Marketing, Inc., provides traditional outgoing call services and customized marketing programs in the United States. It provides inbound and outbound telemarketing services to chiropractors, publishing, financial services, telecommunications, and utilities industries. The company was organized in 1983 and is headquartered in Howell, New Jersey."
"Corpay, Inc.","Corpay, Inc. operates as a payments company that helps businesses and consumers manage vehicle-related expenses, lodging expenses, and corporate payments in the United States, Brazil, the United Kingdom, and internationally. The company offers vehicle payment solutions, which include fuel, tolls, parking, fleet maintenance, and long-haul transportation services, as well as prepaid food and transportation vouchers and cards. It also provides corporate payment solutions consisting of accounts payable automation; virtual cards, cross-border solutions; and purchasing and travel and entertainment card products, as well as lodging payments solutions for employees who travel overnight for work purposes; traveling crews and stranded passengers from airlines and cruise lines; and insurance policyholders displaced from their homes due to damage or catastrophe. In addition, the company offers gifts and payroll cards. It serves business, merchant, consumer, and payment network customers. The company was formerly known as FLEETCOR Technologies, Inc. and changed its name to Corpay, Inc. in March 2024. Corpay, Inc. was founded in 1986 and is headquartered in Atlanta, Georgia."
