company_name,business_description,similar_sentence,similarity_score
"CRA International, Inc.","CRA International, Inc., together with its subsidiaries, provides economic, financial, and management consulting services worldwide. It advises clients on economic and financial matters pertaining to litigation and regulatory proceedings; and guides corporations through business strategy and performance-related issues. The company also offers consulting services, including research and analysis, expert testimony, and support in litigation and regulatory proceedings in the areas of finance, accounting, economics, insurance, and forensic accounting and investigations to corporate clients and attorneys. In addition, it offers management consulting services comprising strategy development, performance improvement, corporate strategy and portfolio analysis, estimation of market demand, environmental, social and corporate governance and sustainability strategy and analysis, design and implementation of auction and bidding, new product pricing strategies, survey and market research, valuation of intellectual property and other assets, assessment of competitors' actions, and analysis of new sources of supply. The company serves various industries, including communications and media; consumer, health, and wellness products; energy; entertainment and leisure; financial services; healthcare; life sciences; manufacturing and industries; natural resources; retail and distribution; technology; and transportation. CRA International, Inc. was incorporated in 1965 and is headquartered in Boston, Massachusetts.","in addition, it offers management consulting services comprising strategy development, performance improvement, corporate strategy and portfolio analysis, estimation of market demand, environmental, social and corporate governance and sustainability strategy and analysis, design and implementation of auction and bidding, new product pricing strategies, survey and market research, valuation of intellectual property and other assets, assessment of competitors' actions, and analysis of new sources of supply.",0.6827
ATIF Holdings Limited,"ATIF Holdings Limited operates as a business consulting company in Hong Kong, the United States, and Mexico. It offers financial consulting services to small and medium-sized enterprises (SMEs). The company primarily focuses on helping clients going public on the national stock exchanges and OTC markets in the United States. Its consulting services primarily include due diligence review, market research and feasibility study, business plan drafting, accounting record review, and business analysis and recommendations; reorganization, pre-listing education and tutoring, talent search, legal and audit firm recommendation and coordination, VIE contracts and other public-listing related documents review, merger and acquisition planning, investor referral and pre-listing equity financing source identification and recommendations, and independent directors and audit committee candidate’s recommendation. The company also offers shell company identification and recommendation for customers expecting to become publicly listed through reverse merger transaction; assistance in preparation of customers’ public filings for IPO or reverse merger transactions; and assistance in answering comments and questions received from regulatory agencies. In addition, it operates chinacnnm.com, a news and media website focuses on distributing financial news and information. ATIF Holdings Limited was incorporated in 2015 and is based in Lake Forest, California.",it offers financial consulting services to small and medium-sized enterprises (smes).,0.6796
"American Cannabis Company, Inc.","American Cannabis Company, Inc., together with its subsidiary, Hollister & Blacksmith, Inc., provides solutions for businesses operating in the regulated cannabis industry in the United States and Canada. The company offers consulting services for companies associated with the cannabis industry in various stages of development, such as cannabis business planning, license applications, growth strategies, and monitoring, as well as cultivation build-out oversight, cannabis regulatory compliance, and compliance audit services. It also sells products and equipment used in the cultivation, processing, transportation, or retail sale of cannabis, such as The Satchel, a pouch-like case designed as a child-proof exit package solution for the regulated cannabis industry; SoHum Living Soil, a just-add-water soil; High Density Cultivation System, which ensures that space is used in an efficient manner; The Cultivation Cube, a self-contained and scalable cultivation system; and other products for cultivation operations, medicinal and recreational cannabis dispensary operations, and infused-products. In addition, the company offers advisory and consulting services specific to design industry-specific products and facilities; and manages a strategic group partnership that offers customer products commonly used in the industry. American Cannabis Company, Inc. was founded in 2001 and is headquartered in Colorado Springs, Colorado.","the company offers consulting services for companies associated with the cannabis industry in various stages of development, such as cannabis business planning, license applications, growth strategies, and monitoring, as well as cultivation build-out oversight, cannabis regulatory compliance, and compliance audit services.",0.6686
Omnicom Group Inc.,"Omnicom Group Inc., together with its subsidiaries, offers advertising, marketing, and corporate communications services. It provides a range of services in the areas of advertising and media, precision marketing, commerce and branding, experiential, execution and support, public relations, and healthcare. The company’s services include advertising, branding, content marketing, corporate social responsibility consulting, crisis communications, custom publishing, data analytics, database management, digital/direct marketing and post-production, digital transformation consulting, entertainment marketing, experiential marketing, field marketing, sales support, financial/corporate business-to-business advertising, graphic arts/digital imaging, healthcare marketing and communications, and instore design services. Its services also comprise interactive marketing, investor relations, marketing research, media planning and buying, retail media planning and buying, merchandising and point of sale, mobile marketing, multi-cultural marketing, non-profit marketing, organizational communications, package design, product placement, promotional marketing, public affairs, public relations, retail marketing, retail media and e-commerce, search engine marketing, shopper marketing, social media marketing, and sports and event marketing services. It operates in the North and Latin America, Europe, the Middle East and Africa (EMEA), and the Asia Pacific. The company was incorporated in 1944 and is based in New York, New York.","the company’s services include advertising, branding, content marketing, corporate social responsibility consulting, crisis communications, custom publishing, data analytics, database management, digital/direct marketing and post-production, digital transformation consulting, entertainment marketing, experiential marketing, field marketing, sales support, financial/corporate business-to-business advertising, graphic arts/digital imaging, healthcare marketing and communications, and instore design services.",0.662
"GEX Management, Inc.","GEX Management, Inc. offers management consulting and technology business services to corporations worldwide. The company provides strategy consulting services, such as strategy and business planning, process optimization, project management, change management, performance improvement, and organizational design and development. Further, it offers enterprise technology consulting services, including digital transformation, cloud computing, data analytics, cybersecurity, and digital marketing. It serves businesses, government agencies, and non-profit organizations. The company was founded in 2004 and is based in Dallas, Texas.","the company provides strategy consulting services, such as strategy and business planning, process optimization, project management, change management, performance improvement, and organizational design and development.",0.6618
"Profit Planners Management, Inc.","Profit Planners Management, Inc. provides management, tax, and financial and accounting advisory services primarily through consulting agreements in New York and Florida. The company offers management, staffing, payroll, human resources, billing, and tax services to its clients; short-term engagements of an outside management services to help companies complete certain transactions or restructurings; and monthly accounting, payroll, tax, and billing services to businesses that do not have those departments. It also provides a range of insurance and insurance related products, such as life insurance and annuities, as well as sells insurance products and services directly to individuals and companies. In addition, the company offers budgeting, and asset allocation and control advisory services to professional athletes, entertainers, and other high earning individuals; and strategic and financial consulting services for companies to raise capital in the debt and equity markets. It serves small and midsized companies. The company was founded in 2009 and is based in New York, New York.","the company offers management, staffing, payroll, human resources, billing, and tax services to its clients; short-term engagements of an outside management services to help companies complete certain transactions or restructurings; and monthly accounting, payroll, tax, and billing services to businesses that do not have those departments.",0.6614
"STWC Holdings, Inc.","STWC Holdings, Inc. provides fulfillment services to medical and retail stores, and cultivation facilities in the regulated cannabis industry in the United States. Its services include opportunity assessment; application filing assistance; branding, marketing, and administrative consulting; accounting and financial services; compliance services; and providing loans to individuals and businesses. The company was founded in 2012 and is based in Lakewood, Colorado.","its services include opportunity assessment; application filing assistance; branding, marketing, and administrative consulting; accounting and financial services; compliance services; and providing loans to individuals and businesses.",0.6552
"MetaPower International, Inc.","MetaPower International, Inc. operates as a management-consulting and technology company in North America. The company offers Noble Production, a suite of automated processes and attendant services that provide heavy industrial facilities with the tools necessary to guide the evolution of their organization and its culture. It also offers a suite of services to support Noble Production. These services include assessment services that assist clients in determining their performance relative to OSHA’s Voluntary Protection Program 1 Safety criteria; culture reform services, including training and consulting services; business process management services comprising Noble Production automated process customization and business process design services; and cause analysis services, including cause analysis training and event investigations for investigating and determining the cause of conditions and incidents. In addition, the company provides consulting services in various areas, including business process management, program design and implementation, process design, procedure development and implementation, business system planning and implementation, corrective action programs, cause analysis, process safety management, and culture change management. Further, it offers training courses in various aspects of position competency, including technical training, performance training, supervision and leadership training, and other skill and knowledge based training. The company was founded in 1996 and is based in Vancouver, Washington.","in addition, the company provides consulting services in various areas, including business process management, program design and implementation, process design, procedure development and implementation, business system planning and implementation, corrective action programs, cause analysis, process safety management, and culture change management.",0.6499
"MJardin Group, Inc.","MJardin Group, Inc., through its subsidiaries, cultivates, harvests, processes, and sells cannabis products in Canada and the United States. The company also provides consulting services, including strategic capital and financing, project management services for cultivation, licensure support, facility design, systems implementation, facility and equipment leasing, construction oversight, facility ramp-up, and access to intellectual property held by the company to licensed cannabis operators with cultivation and retail businesses. It owns, manages, or advises on a portfolio of 32 cannabis operations. The company was founded in 2014 and is headquartered in Toronto, Canada.","the company also provides consulting services, including strategic capital and financing, project management services for cultivation, licensure support, facility design, systems implementation, facility and equipment leasing, construction oversight, facility ramp-up, and access to intellectual property held by the company to licensed cannabis operators with cultivation and retail businesses.",0.6458
"GEX Management, Inc.","GEX Management, Inc. offers management consulting and technology business services to corporations worldwide. The company provides strategy consulting services, such as strategy and business planning, process optimization, project management, change management, performance improvement, and organizational design and development. Further, it offers enterprise technology consulting services, including digital transformation, cloud computing, data analytics, cybersecurity, and digital marketing. It serves businesses, government agencies, and non-profit organizations. The company was founded in 2004 and is based in Dallas, Texas.","further, it offers enterprise technology consulting services, including digital transformation, cloud computing, data analytics, cybersecurity, and digital marketing.",0.638
"TSS, Inc.","TSS, Inc. provides integration technology services to implement, operate, and maintain information technology systems to enterprises and users in the United States. The company operates in two segments, Facilities and Systems Integration. It offers a single source solution for enabling technologies in data centers, operations centers, network facilities, server rooms, security operations centers, communications facilities, and the infrastructure systems. The company also provides technology consulting, design and engineering, project management, systems integration, system installation, facilities management, and IT procurement services. It serves IT OEM equipment, technology, and service companies; private sector businesses; and government or commercial end users. The company was formerly known as Fortress International Group, Inc. and changed its name to TSS, Inc. in June 2013. TSS, Inc. was incorporated in 2004 and is headquartered in Round Rock, Texas.","the company also provides technology consulting, design and engineering, project management, systems integration, system installation, facilities management, and it procurement services.",0.6364
"Profit Planners Management, Inc.","Profit Planners Management, Inc. provides management, tax, and financial and accounting advisory services primarily through consulting agreements in New York and Florida. The company offers management, staffing, payroll, human resources, billing, and tax services to its clients; short-term engagements of an outside management services to help companies complete certain transactions or restructurings; and monthly accounting, payroll, tax, and billing services to businesses that do not have those departments. It also provides a range of insurance and insurance related products, such as life insurance and annuities, as well as sells insurance products and services directly to individuals and companies. In addition, the company offers budgeting, and asset allocation and control advisory services to professional athletes, entertainers, and other high earning individuals; and strategic and financial consulting services for companies to raise capital in the debt and equity markets. It serves small and midsized companies. The company was founded in 2009 and is based in New York, New York.","in addition, the company offers budgeting, and asset allocation and control advisory services to professional athletes, entertainers, and other high earning individuals; and strategic and financial consulting services for companies to raise capital in the debt and equity markets.",0.6335
"CSG Systems International, Inc.","CSG Systems International, Inc., together with its subsidiaries, provides revenue management and digital monetization, customer experience, and payment solutions primarily to the communications industry in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It offers Advanced Convergent Platform, a private SaaS platform; and related solutions, including service technician management, analytics, electronic bill presentment, etc. The company also provides a public SaaS-based revenue management and payments platform. In addition, it offers managed services; and professional services to implement, configure, and maintain its solutions, as well as licenses various solutions, such as mediation, partner management, rating, and charging. Further, the company provides operational services, including infrastructure management comprised of hardware, application, and environmental management; application configuration management, such as configuration development, release, and deployment; and business operations management, which includes event processing, revenue management, and settlement. It serves retail, financial services, healthcare, insurance, and government entities. The company was incorporated in 1994 and is headquartered in Englewood, Colorado.","in addition, it offers managed services; and professional services to implement, configure, and maintain its solutions, as well as licenses various solutions, such as mediation, partner management, rating, and charging.",0.6304
"FTI Consulting, Inc.","FTI Consulting, Inc. provides business advisory services to manage change, mitigate risk, and resolve disputes worldwide. The company operates through Corporate Finance & Restructuring, Forensic and Litigation Consulting, Economic Consulting, Technology, and Strategic Communications segments. The Corporate Finance & Restructuring segment provides business transformation and strategy, transactions, and turnaround and restructuring services. The Forensic and Litigation Consulting segment offers construction and environmental solutions, data and analytics, disputes, health solutions, and risk and investigation services. The Economic Consulting segment provides antitrust and competition economics, financial economics, and international arbitration services. The Technology segment offers corporate legal department consulting; e-discovery and expertise; and information governance, privacy, and security services. The Strategic Communications segment provides corporate reputation, financial communications, and public affairs services. It serves aerospace and defense, airlines and aviation, blockchain and digital assets, chemicals, construction and environmental solutions, energy, financial services, food and agriculture, healthcare and life sciences, hospitality, gaming and leisure, automotive and industrial, insurance, mining, private equity, power and renewable, public sector and government contracts, real estate, retail and consumer products, telecom, media and technology, and transportation and logistics sectors. FTI Consulting, Inc. was incorporated in 1982 and is headquartered in Washington, the District of Columbia.","the company operates through corporate finance & restructuring, forensic and litigation consulting, economic consulting, technology, and strategic communications segments.",0.6264
Bitcoin Well Inc.,"Bitcoin Well Inc. provides bitcoin and other cryptocurrency services in Canada. It operates through two segments, Automated Teller Machines (ATMs) and Online Portal. The company owns and operates a network of Bitcoin ATMs for the buying and selling of bitcoin and other cryptocurrencies. It also offers an online portal for individuals to buy, sell, and use bitcoin online; bill payment services through its online platform; and gift cards and other prepaid debit cards that can be purchased with bitcoin and other cryptocurrencies. In addition, the company offers consultation services on cryptocurrencies. Bitcoin Well Inc. was founded in 2013 and is headquartered in Edmonton, Canada.","in addition, the company offers consultation services on cryptocurrencies.",0.6217
